name,lng,lat,avg_time
DOUGLAS,-87.61633478936812,41.834703874807566,1820.012658227848
OAKLAND,-87.6023885555986,41.82409000872033,2148.0714285714284
FULLER PARK,-87.63246750154397,41.809076253743505,1563.159090909091
GRAND BOULEVARD,-87.61788499911117,41.812928916931924,1931.364089775561
KENWOOD,-87.5933614086095,41.8095969635557,1971.3464052287582
LINCOLN SQUARE,-87.69043921605481,41.976018448386654,2969.006993006993
WASHINGTON PARK,-87.61744274906422,41.79113124333875,1923.610465116279
HYDE PARK,-87.59078578733521,41.794234037805154,2234.4625
WOODLAWN,-87.59110386398584,41.776133468051725,2220.6946778711485
ROGERS PARK,-87.66960449745346,42.01049895215726,3187.581589958159
JEFFERSON PARK,-87.77032233287426,41.98250423972661,2902.69964028777
FOREST GLEN,-87.75830688829618,41.99170590888654,3451.213186813187
NORTH PARK,-87.72614887328962,41.984605199532766,3197.0359477124184
ALBANY PARK,-87.72136935426178,41.96852149596936,2864.9375
PORTAGE PARK,-87.76457805849383,41.95356887850333,2860.235294117647
IRVING PARK,-87.7210876710948,41.95351278327085,2420.986568986569
DUNNING,-87.80645674695518,41.94726478175815,3781.334957369062
MONTCLARE,-87.7980809604002,41.92787435521212,3721.9
BELMONT CRAGIN,-87.76605231781609,41.926394191836025,3115.8564547206165
WEST RIDGE,-87.69275270803367,42.00130587936559,3679.5810502283107
HERMOSA,-87.7322612631791,41.92622586714903,2657.317610062893
AVONDALE,-87.71155236336136,41.939214970792335,2079.774074074074
LOGAN SQUARE,-87.69754034742397,41.92482655280476,1913.0364906832299
HUMBOLDT PARK,-87.7164903480865,41.900872806033675,2336.278270509978
WEST TOWN,-87.67318287929224,41.902177764411704,1539.1424581005588
AUSTIN,-87.77280983008212,41.894413696868845,2725.6887376237623
WEST GARFIELD PARK,-87.7303958681687,41.87829638344602,2253.506596306069
EAST GARFIELD PARK,-87.70482740617513,41.87871984099279,1944.3105590062112
NEAR WEST SIDE,-87.66339409450408,41.87337287947412,1562.434131736527
NORTH LAWNDALE,-87.71397211061849,41.85828484017,2326.3312421580927
UPTOWN,-87.65263755699917,41.96610751973829,2369.550769230769
SOUTH LAWNDALE,-87.71336128576343,41.837837954551894,2837.7490039840636
LOWER WEST SIDE,-87.66161558218653,41.84740950437386,1985.0551053484603
NEAR SOUTH SIDE,-87.62038336659829,41.85659968289681,1289.1875
ARMOUR SQUARE,-87.63646098178307,41.84069621823579,1493.0551724137931
NORWOOD PARK,-87.80722281076004,41.98561259525927,3269.716934487021
NEAR NORTH SIDE,-87.62887658122979,41.89895379710744,1140.6251808972504
LOOP,-87.62037240589743,41.878972497359364,612.5442708333334
SOUTH SHORE,-87.5681135652585,41.76264483535677,2501.640875912409
CHATHAM,-87.6174163989032,41.73695873903704,2435.1279069767443
AVALON PARK,-87.58179145733283,41.746832080512526,2905.6837060702874
SOUTH CHICAGO,-87.55505879284965,41.73899216617555,3014.451968503937
BURNSIDE,-87.59561096398227,41.729410599449515,2789.4742268041236
MCKINLEY PARK,-87.67178186481888,41.83101032010745,2039.9125
LAKE VIEW,-87.65220015065498,41.946988685501225,1927.1322314049587
CALUMET HEIGHTS,-87.57051218607928,41.72989349004569,3106.0661625708885
ROSELAND,-87.6230081048875,41.71227819213411,2828.0665064102564
NORTH CENTER,-87.68510797853082,41.94687707349408,2314.6496598639455
PULLMAN,-87.5980333532279,41.70388195184182,3123.4714285714285
SOUTH DEERING,-87.57206042629319,41.69152547567599,3621.7034482758622
EAST SIDE,-87.53502095496347,41.7078837283403,4073.344827586207
WEST PULLMAN,-87.63693896392093,41.671389680183594,3717.561598224195
RIVERDALE,-87.59934673570201,41.66539873278109,4125.122448979592
HEGEWISCH,-87.55680991595005,41.66818471878017,5176.7114093959735
GARFIELD RIDGE,-87.7696246581099,41.80340301636947,4277.340596330275
ARCHER HEIGHTS,-87.72617302155916,41.81080574928978,3104.4351145038167
BRIGHTON PARK,-87.69912152540873,41.81936451000476,2595.5761589403974
BRIDGEPORT,-87.64946644584424,41.836409452014564,1847.0907407407408
NEW CITY,-87.65994142751182,41.80872681651308,2216.0785398230087
WEST ELSDON,-87.72559045762814,41.795902972664955,3250.0811688311687
GAGE PARK,-87.69629133881807,41.795473024675445,2482.0303605313093
CLEARING,-87.76919609364012,41.778460494145946,4595.976237623762
WEST LAWN,-87.72724306276896,41.769568737423654,3700.833641404806
CHICAGO LAWN,-87.69554838599358,41.771849049871044,3005.379393939394
WEST ENGLEWOOD,-87.66680135898183,41.775902504390984,2530.456953642384
ENGLEWOOD,-87.64156061413183,41.77533824559673,2075.52
GREATER GRAND CROSSING,-87.61599931339785,41.766957317095105,2129.7258687258686
LINCOLN PARK,-87.65148691837533,41.92189961589251,1697.3059163059163
ASHBURN,-87.70714332375313,41.747996595293245,3843.2394859813085
AUBURN GRESHAM,-87.65616090948572,41.743389288669476,2849.1884615384615
BEVERLY,-87.67623942969601,41.71729358961022,3577.9474835886213
WASHINGTON HEIGHTS,-87.6506245726626,41.71598637606521,2882.910994764398
MOUNT GREENWOOD,-87.71774781497464,41.69686926348349,4122.288235294118
MORGAN PARK,-87.66903441052622,41.687802570812934,3594.728723404255
OHARE,-87.88745446921143,41.97313797472897,3951.367816091954
EDGEWATER,-87.66115142217485,41.98716978889616,2744.061965811966
EDISON PARK,-87.813980770872,42.00717825643043,3397.785714285714
