lat,lng,duration,walkTime,walkDistance,transitTime,transfers
41.768171121800002,-87.629439484800002,1775,483,590.778060143,1050,0
41.773533120899998,-87.634468403499994,1967,601,758.465293228,1193,1
41.773058118100003,-87.635904069899993,1955,589,745.869458642,1193,1
41.859825100800002,-87.738043332399997,3150,981,1251.71230827,1795,1
41.855868829000002,-87.731142802099995,2495,753,964.67384962,1500,0
41.857866430300000,-87.731034938400001,2585,843,1052.31389473,1500,0
41.850580174100003,-87.704575189200000,2230,728,925.156060145,1260,0
41.850788069700002,-87.698667690299999,2299,887,1130.22407518,1170,0
41.852914775599999,-87.689287767400003,2147,825,1037.71140601,1080,0
41.696129085099997,-87.675227465899994,3618,671,841.150533828,2804,1
41.723435007699997,-87.650233874400001,2691,355,428.804616537,1953,1
41.723944196700003,-87.649471160499999,2744,408,500.654518794,1953,1
41.700453267000000,-87.651550204100005,3315,773,972.748999994,2399,1
41.698970377000002,-87.651333217800001,3226,684,855.666999994,2399,1
41.778034278100002,-87.683234297100000,2733,403,486.620639091,2058,1
41.774810720500000,-87.672881307500006,2784,650,817.346887211,1862,1
41.781739282600000,-87.676421365699994,2641,455,558.437383452,1914,1
41.799184062199998,-87.732824161300002,3681,262,316.237481198,3417,0
41.799033011799999,-87.768896475000005,4515,557,704.944962402,3956,0
41.704228024999999,-87.710460067000000,4375,835,1071.03730075,3285,1
41.704869188600000,-87.713217901999997,4041,471,588.893052626,3315,1
41.696281820400003,-87.687759431200007,3912,616,781.842593981,2973,1
41.702912786600002,-87.687070998699994,3962,726,909.646849616,2981,1
41.748572845200002,-87.708153367799994,3753,374,454.433639091,3044,1
41.763184844100003,-87.706754006899999,3183,949,1218.40145864,2095,1
41.778336799500003,-87.730685291900002,3682,303,364.384428566,2927,1
41.798828277500000,-87.743537448699996,3755,184,217.190390974,3569,0
41.795467299400002,-87.756332196299994,4042,292,353.994458642,3748,0
41.781515296499997,-87.785071880700002,5069,672,849.599676686,3748,2
41.782178519900000,-87.786624146799994,5061,629,797.464593981,3783,2
41.783396020900000,-87.786974027699998,5208,776,984.246511272,3783,2
41.789290487899997,-87.800466684800000,4823,483,600.595428566,4338,0
41.725601471899999,-87.675336642800005,3484,634,804.623593981,2610,1
41.662768286800002,-87.640511810700005,3829,262,316.419218041,3160,1
41.666001353699997,-87.640010301499998,3880,388,476.748676686,3085,1
41.739884062700000,-87.708213505200007,3938,862,1108.65821804,2876,2
41.740811881399999,-87.721329946300003,3986,777,984.658624055,3019,1
41.747066822699999,-87.723629290399998,4208,435,543.52296992,3378,1
41.746130777200001,-87.718138594999999,4267,620,781.772428566,3252,1
41.747502085100002,-87.718181042400005,4151,504,628.851428566,3252,1
41.746083214300000,-87.644212648500002,2552,548,688.576804506,1597,1
41.750878161999999,-87.640996272799995,2354,315,379.530676686,1643,1
41.736004735800002,-87.635752197100004,2076,293,361.904774433,1592,1
41.734898223999998,-87.634768012699993,2369,466,583.666616537,1593,1
41.789465920600001,-87.665382644000005,2335,553,687.129511272,1559,1
41.802170474599997,-87.672392092300001,2642,935,1200.73163157,1272,1
41.796764035099997,-87.664344621200001,2375,568,716.220360898,1525,1
41.791319768699999,-87.662980590600000,2308,548,683.951015031,1478,1
41.786718378400003,-87.650433612499995,1866,353,430.393804506,1290,1
41.782832328900000,-87.646389080299997,2185,563,697.320887211,1230,1
41.691543553800003,-87.653301374500003,3496,318,376.634052626,2729,2
41.699875773499997,-87.641704276300004,3042,304,363.588804506,2482,1
41.689672803599997,-87.650810460499997,3738,565,700.474999995,2850,1
41.689205172299999,-87.648971523499995,3709,571,716.922052626,2815,1
41.778669990600001,-87.655046490800004,2194,423,516.499263151,1439,1
41.742364438099997,-87.649569216200007,2878,840,1069.22142857,1691,1
41.767691845400002,-87.646608809599996,2244,421,516.394887211,1467,1
41.771497634200003,-87.649121461600004,2428,553,695.142052626,1519,1
41.779304959100003,-87.657533603000005,2121,237,289.103383455,1492,1
41.780631230899999,-87.662727418299994,2290,362,437.144511272,1596,1
41.795934547900004,-87.709749349000006,2570,1125,1443.95604511,1306,1
41.798124611600002,-87.700940518699994,2333,933,1191.68091729,1261,1
41.758303277700001,-87.586588943500004,2603,187,220.751390974,2124,1
41.760116678000003,-87.588101740900001,2641,344,429.260383455,2153,1
