from,to,time
UKRAINIAN VILLAGE AND EAST VILLAGE,UNITED CENTER,1032.666667
UKRAINIAN VILLAGE AND EAST VILLAGE,UPTOWN,3204
UKRAINIAN VILLAGE AND EAST VILLAGE,WEST LOOP,1017.761795
UKRAINIAN VILLAGE AND EAST VILLAGE,WICKER PARK,424.6738926
UKRAINIAN VILLAGE AND EAST VILLAGE,WRIGLEYVILLE,1414
UNITED CENTER,BELMONT CRAIGIN,1410
UNITED CENTER,BRIDGEPORT,2865
UNITED CENTER,BUCKTOWN,1134.764706
UNITED CENTER,EDGEWATER,1981.555556
UNITED CENTER,GARFIELD PARK,489.7857143
UNITED CENTER,HUMBOLDT PARK,879.9
UNITED CENTER,IRVING PARK,1155
UNITED CENTER,LAKE VIEW,1855.4
UNITED CENTER,LINCOLN PARK,1962.4
UNITED CENTER,LINCOLN SQUARE,1115.277778
UNITED CENTER,LITTLE ITALY,661.2688172
UNITED CENTER,LITTLE VILLAGE,1308
UNITED CENTER,LOGAN SQUARE,1963.428571
UNITED CENTER,LOOP,1497.185185
UNITED CENTER,LOWER WEST SIDE,994.625
UNITED CENTER,MILLENIUM PARK,1599.833333
UNITED CENTER,MUSEUM CAMPUS,1968.5
UNITED CENTER,NEAR SOUTH SIDE,1830.4375
UNITED CENTER,NORTH CENTER,1581.2
UNITED CENTER,NORTH LAWNDALE,786.3333333
UNITED CENTER,NORTH PARK,746.3333333
UNITED CENTER,OLD TOWN,1585.888889
UNITED CENTER,PRINTERS ROW,2661.5
UNITED CENTER,RIVER NORTH,1540.46875
UNITED CENTER,ROGERS PARK,636.35
UNITED CENTER,RUSH & DIVISION,1621.857143
UNITED CENTER,UKRAINIAN VILLAGE AND EAST VILLAGE,832.90625
UNITED CENTER,UNITED CENTER,797.5111111
UNITED CENTER,UPTOWN,944
UNITED CENTER,WEST LOOP,662.7601351
UNITED CENTER,WEST RIDGE,473.2
UNITED CENTER,WICKER PARK,794.3149606
UNITED CENTER,WRIGLEYVILLE,1783
UPTOWN,ANDERSONVILLE,707.0421687
UPTOWN,BRIGHTON PARK,4114
UPTOWN,BUCKTOWN,1782.1
UPTOWN,EDGEWATER,784.1246459
UPTOWN,GOLD COAST,2051.252632
UPTOWN,GRANT PARK,4784
UPTOWN,HYDE PARK,6134
UPTOWN,IRVING PARK,1731.25
UPTOWN,LAKE VIEW,620.7039498
UPTOWN,LINCOLN PARK,1676.485465
UPTOWN,LINCOLN SQUARE,446.6801505
UPTOWN,LITTLE ITALY,2744
UPTOWN,LOGAN SQUARE,2097.809524
UPTOWN,LOOP,2389.431655
UPTOWN,MILLENIUM PARK,3795
UPTOWN,MUSEUM CAMPUS,4103.375
UPTOWN,NEAR SOUTH SIDE,4872.4
UPTOWN,NORTH CENTER,934.2605634
UPTOWN,NORTH PARK,1186
UPTOWN,OLD TOWN,2068.666667
UPTOWN,RIVER NORTH,2267.256757
UPTOWN,ROGERS PARK,1509.351064
UPTOWN,RUSH & DIVISION,2158.461538
UPTOWN,SHEFFIELD & DEPAUL,1244.244444
UPTOWN,UKRAINIAN VILLAGE AND EAST VILLAGE,1907.833333
UPTOWN,UNITED CENTER,1089
UPTOWN,UPTOWN,623.5353602
UPTOWN,WEST LOOP,2240.2
UPTOWN,WEST RIDGE,1501.5
UPTOWN,WICKER PARK,1907.833333
UPTOWN,WRIGLEYVILLE,613.6037736
WASHINGTON PARK,BRIDGEPORT,1100
WASHINGTON PARK,BRONZEVILLE,868.7894737
WASHINGTON PARK,ENGLEWOOD,581.2142857
WASHINGTON PARK,GOLD COAST,8323
WASHINGTON PARK,HYDE PARK,574.5886076
WASHINGTON PARK,JACKSON PARK,967.4
WASHINGTON PARK,KENWOOD,1606.5
WASHINGTON PARK,WASHINGTON PARK,455.1860465
WASHINGTON PARK,WEST LOOP,9956
WASHINGTON PARK,WOODLAWN,929.6842105
WEST LOOP,ANDERSONVILLE,3057
WEST LOOP,ARMOUR SQUARE,1323.125
WEST LOOP,AUSTIN,3182
WEST LOOP,BACK OF THE YARDS,1683
WEST LOOP,BRIDGEPORT,1452.647959
WEST LOOP,BRIGHTON PARK,1778.733333
WEST LOOP,BRONZEVILLE,1853.179104
WEST LOOP,BUCKTOWN,1400.548387
WEST LOOP,CHATHAM,8323
WEST LOOP,EDGEWATER,4010.923077
WEST LOOP,GARFIELD PARK,1441.071429
WEST LOOP,GOLD COAST,1129.176966
WEST LOOP,GRANT PARK,743.7412844
WEST LOOP,HUMBOLDT PARK,1571.527559
WEST LOOP,HYDE PARK,3235.5625
WEST LOOP,IRVING PARK,2228.464286
WEST LOOP,JACKSON PARK,4644
WEST LOOP,KENWOOD,6232
WEST LOOP,LAKE VIEW,2000.942222
WEST LOOP,LINCOLN PARK,1355.177581
WEST LOOP,LINCOLN SQUARE,1709.517241
WEST LOOP,LITTLE ITALY,642.7288889
WEST LOOP,LITTLE VILLAGE,1827.769231
WEST LOOP,LOGAN SQUARE,1773.767263
WEST LOOP,LOOP,534.4267561
WEST LOOP,LOWER WEST SIDE,901.9118836
WEST LOOP,MILLENIUM PARK,931.6136364
WEST LOOP,MUSEUM CAMPUS,1260.9375
WEST LOOP,NEAR SOUTH SIDE,966.6009281
WEST LOOP,NORTH CENTER,1838.453846
WEST LOOP,NORTH LAWNDALE,1275.333333
WEST LOOP,NORTH PARK,2272
WEST LOOP,OLD TOWN,1039.573333
WEST LOOP,PRINTERS ROW,688.9253521
WEST LOOP,RIVER NORTH,627.5924098
WEST LOOP,ROGERS PARK,1161.442308
WEST LOOP,RUSH & DIVISION,932.8518263
WEST LOOP,SHEFFIELD & DEPAUL,1435.666667
WEST LOOP,STREETERVILLE,904.06
WEST LOOP,UKRAINIAN VILLAGE AND EAST VILLAGE,1064.13229
WEST LOOP,UNITED CENTER,780.0496183
WEST LOOP,UPTOWN,2238.259259
WEST LOOP,WEST LOOP,373.1676538
WEST LOOP,WICKER PARK,685.8890304
WEST LOOP,WOODLAWN,2455.25
WEST LOOP,WRIGLEYVILLE,2027
WEST RIDGE,ANDERSONVILLE,1199.666667
WEST RIDGE,EDGEWATER,1276.333333
WEST RIDGE,IRVING PARK,1994
WEST RIDGE,LAKE VIEW,1666.833333
WEST RIDGE,LINCOLN PARK,2484.333333
WEST RIDGE,LINCOLN SQUARE,1047.892857
WEST RIDGE,LITTLE ITALY,3027
WEST RIDGE,LOGAN SQUARE,2135.6
WEST RIDGE,NORTH CENTER,2043.5
WEST RIDGE,NORTH PARK,849.8823529
WEST RIDGE,RIVER NORTH,3448
WEST RIDGE,ROGERS PARK,520.0551948
WEST RIDGE,UNITED CENTER,318.6666667
WEST RIDGE,UPTOWN,1989.666667
WEST RIDGE,WEST RIDGE,1295.013889
WEST RIDGE,WICKER PARK,3102.333333
WEST RIDGE,WRIGLEYVILLE,1698.8
WICKER PARK,ANDERSONVILLE,3564
WICKER PARK,ARMOUR SQUARE,2218.095238
WICKER PARK,AUSTIN,2957.5
WICKER PARK,BACK OF THE YARDS,2331
WICKER PARK,BELMONT CRAIGIN,1633.071429
WICKER PARK,BRIDGEPORT,2039
WICKER PARK,BRIGHTON PARK,1954.325
WICKER PARK,BUCKTOWN,547.3333333
WICKER PARK,EDGEWATER,2265
WICKER PARK,GARFIELD PARK,1390.970588
WICKER PARK,GOLD COAST,892.9477124
WICKER PARK,GRANT PARK,2221.794118
WICKER PARK,HUMBOLDT PARK,800.7093426
WICKER PARK,HYDE PARK,6317.75
WICKER PARK,IRVING PARK,1206.415584
WICKER PARK,JACKSON PARK,6732.5
WICKER PARK,LAKE VIEW,1482.853309
WICKER PARK,LINCOLN PARK,1059.276458
WICKER PARK,LINCOLN SQUARE,1061.978261
WICKER PARK,LITTLE ITALY,918.6398996
WICKER PARK,LITTLE VILLAGE,1870.954545
WICKER PARK,LOGAN SQUARE,998.3539382
WICKER PARK,LOOP,1020.895801
WICKER PARK,LOWER WEST SIDE,1413.445313
WICKER PARK,MILLENIUM PARK,1431.112903
WICKER PARK,MUSEUM CAMPUS,2415.071429
WICKER PARK,NEAR SOUTH SIDE,2093.145833
WICKER PARK,NORTH CENTER,1047.169291
WICKER PARK,NORTH LAWNDALE,1860.333333
WICKER PARK,NORTH PARK,1883.818182
WICKER PARK,OLD TOWN,790.7014085
WICKER PARK,PRINTERS ROW,1389.655172
WICKER PARK,RIVER NORTH,592.7739537
WICKER PARK,ROGERS PARK,537.0941704
WICKER PARK,RUSH & DIVISION,913.4048027
WICKER PARK,SHEFFIELD & DEPAUL,1232.043269
WICKER PARK,STREETERVILLE,3091.428571
WICKER PARK,UKRAINIAN VILLAGE AND EAST VILLAGE,475.9764857
WICKER PARK,UNITED CENTER,765.1785714
WICKER PARK,UPTOWN,2131.267857
WICKER PARK,WEST LOOP,641.0736409
WICKER PARK,WEST RIDGE,2754.5
WICKER PARK,WICKER PARK,512.3563128
WICKER PARK,WRIGLEYVILLE,1536.222222
WOODLAWN,ARMOUR SQUARE,2535
WOODLAWN,BRIDGEPORT,2193
WOODLAWN,BRONZEVILLE,1451.382353
WOODLAWN,CHATHAM,1714.4
WOODLAWN,ENGLEWOOD,740.7
WOODLAWN,GRANT PARK,7815
WOODLAWN,HYDE PARK,388.146935
WOODLAWN,JACKSON PARK,1698.625
WOODLAWN,KENWOOD,798.3148148
WOODLAWN,NEAR SOUTH SIDE,1615
WOODLAWN,RIVER NORTH,2091.5
WOODLAWN,SOUTH CHICAGO,1461.75
WOODLAWN,SOUTH SHORE,814.1538462
WOODLAWN,WASHINGTON PARK,769.25
WOODLAWN,WOODLAWN,759.4923858
WRIGLEYVILLE,ANDERSONVILLE,819.3913043
WRIGLEYVILLE,BUCKTOWN,1522.285714
WRIGLEYVILLE,EDGEWATER,2095.692308
WRIGLEYVILLE,IRVING PARK,1051.571429
WRIGLEYVILLE,LAKE VIEW,362.7829205
WRIGLEYVILLE,LINCOLN PARK,1011.439024
WRIGLEYVILLE,LINCOLN SQUARE,850.6785714
WRIGLEYVILLE,LITTLE ITALY,2176
WRIGLEYVILLE,LOGAN SQUARE,1589.708333
WRIGLEYVILLE,LOOP,2076.982759
WRIGLEYVILLE,LOWER WEST SIDE,3050
WRIGLEYVILLE,MILLENIUM PARK,2452
WRIGLEYVILLE,NORTH CENTER,648.622807
WRIGLEYVILLE,NORTH PARK,1268.5
WRIGLEYVILLE,OLD TOWN,1280.291667
WRIGLEYVILLE,RIVER NORTH,1913.586207
WRIGLEYVILLE,ROGERS PARK,1372.846154
WRIGLEYVILLE,RUSH & DIVISION,2773.142857
WRIGLEYVILLE,SHEFFIELD & DEPAUL,809.9767442
WRIGLEYVILLE,UKRAINIAN VILLAGE AND EAST VILLAGE,1744
WRIGLEYVILLE,UPTOWN,634.2588832
WRIGLEYVILLE,WEST LOOP,2314.75
WRIGLEYVILLE,WEST RIDGE,1827
WRIGLEYVILLE,WICKER PARK,1481.6
WRIGLEYVILLE,WRIGLEYVILLE,949.36
